Year,Gebietseinheit,Nationalität,GeoCode,Value
2005,Braunschweig  Stadt,Ausländerinnen und Ausländer,K03101,84
2005,Salzgitter  Stadt,Ausländerinnen und Ausländer,K03102,41
2005,Wolfsburg  Stadt,Ausländerinnen und Ausländer,K03103,42
2005,Gifhorn,Ausländerinnen und Ausländer,K03151,12
2005,Goslar,Ausländerinnen und Ausländer,K03153,44
2005,Helmstedt,Ausländerinnen und Ausländer,K03154,20
2005,Northeim,Ausländerinnen und Ausländer,K03155,41
2005,Peine,Ausländerinnen und Ausländer,K03157,38
2005,Wolfenbüttel,Ausländerinnen und Ausländer,K03158,18
2005,Göttingen,Ausländerinnen und Ausländer,K03159,128
2005,Statistische Region Braunschweig,Ausländerinnen und Ausländer,K031,468
2005,Hannover  Region,Ausländerinnen und Ausländer,K03241,404
2005,dav. Hannover  Lhst.,Ausländerinnen und Ausländer,K03241001,270
2005,dav. Hannover  Umland,Ausländerinnen und Ausländer,K03241999,134
2005,Diepholz,Ausländerinnen und Ausländer,K03251,50
2005,Hameln-Pyrmont,Ausländerinnen und Ausländer,K03252,35
2005,Hildesheim,Ausländerinnen und Ausländer,K03254,118
2005,Holzminden,Ausländerinnen und Ausländer,K03255,13
2005,Nienburg (Weser),Ausländerinnen und Ausländer,K03256,48
2005,Schaumburg,Ausländerinnen und Ausländer,K03257,33
2005,Statistische Region Hannover,Ausländerinnen und Ausländer,K032,701
2005,Celle,Ausländerinnen und Ausländer,K03351,40
2005,Cuxhaven,Ausländerinnen und Ausländer,K03352,45
2005,Harburg,Ausländerinnen und Ausländer,K03353,55
2005,Lüchow-Dannenberg,Ausländerinnen und Ausländer,K03354,5
2005,Lüneburg,Ausländerinnen und Ausländer,K03355,42
2005,Osterholz,Ausländerinnen und Ausländer,K03356,42
2005,Rotenburg (Wümme),Ausländerinnen und Ausländer,K03357,37
2005,Heidekreis,Ausländerinnen und Ausländer,K03358,42
2005,Stade,Ausländerinnen und Ausländer,K03359,43
