Year,Kategorie,Geschlecht,Altersgruppe,Value
Juni 2007,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),,,8.5
Juni 2008,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),,,7.4
Juni 2009,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),,,7.6
Juni 2010,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),,,7.3
Juni 2011,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),,,6.7
Juni 2012,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),,,6.2
Juni 2013,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),,,6.3
Juni 2014,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),,,6.3
Juni 2015,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),,,5.9
Juni 2016,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),,,5.8
Juni 2017,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),,,5.6
Juni 2018,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),,,5.1
Juni 2019,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),,,4.9
Juni 2020,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),,,6
Juni 2007,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,,7.8
Juni 2008,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,,6.9
Juni 2009,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,,7.7
Juni 2010,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,,7.3
Juni 2011,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,,6.5
Juni 2012,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,,6.1
Juni 2013,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,,6.3
Juni 2014,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,,6.3
Juni 2015,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,,5.9
Juni 2016,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,,6
Juni 2017,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,,5.8
Juni 2018,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,,5.3
Juni 2019,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,,5.1
Juni 2020,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,,6.4
Juni 2007,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,,9.2
Juni 2008,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,,7.9
Juni 2009,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,,7.5
Juni 2010,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,,7.3
Juni 2011,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,,6.9
Juni 2012,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,,6.4
Juni 2013,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,,6.4
Juni 2014,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,,6.3
Juni 2015,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,,5.8
Juni 2016,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,,5.6
Juni 2017,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,,5.5
Juni 2018,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,,5
Juni 2019,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,,4.7
Juni 2020,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,,5.7
Juni 2007,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),,,20.8
Juni 2008,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),,,19.7
Juni 2009,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),,,19.4
Juni 2010,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),,,18.2
Juni 2011,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),,,17.2
Juni 2012,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),,,16
Juni 2013,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),,,15.7
Juni 2014,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),,,16
Juni 2015,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),,,16.3
Juni 2016,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),,,18.1
Juni 2017,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),,,17.7
Juni 2018,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),,,15.6
Juni 2019,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),,,14.7
Juni 2020,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),,,17.8
Juni 2007,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer ,,18.5
Juni 2008,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer ,,17.2
Juni 2009,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer ,,18
Juni 2010,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer ,,16.6
Juni 2011,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer ,,15.5
Juni 2012,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer ,,14.3
Juni 2013,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer ,,14.1
Juni 2014,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer ,,14.1
Juni 2015,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer ,,14.3
Juni 2016,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer ,,17.3
Juni 2017,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer ,,16.3
Juni 2018,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer ,,14.1
Juni 2019,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer ,,13.2
Juni 2020,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer ,,16.3
Juni 2007,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,,24.1
Juni 2008,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,,23.3
Juni 2009,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,,21.3
Juni 2010,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,,20.3
Juni 2011,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,,19.5
Juni 2012,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,,18.3
Juni 2013,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,,18
Juni 2014,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,,18.5
Juni 2015,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,,19.1
Juni 2016,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,,19.3
Juni 2017,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,,19.8
Juni 2018,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,,17.9
Juni 2019,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,,17.2
Juni 2020,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,,20.4
Juni 2007,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,,,+12.3
Juni 2008,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,,,+12.3
Juni 2009,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,,,+11.8
Juni 2010,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,,,+10.9
Juni 2011,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,,,+10.5
Juni 2012,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,,,+9.8
Juni 2013,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,,,+9.4
Juni 2014,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,,,+9.7
Juni 2015,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,,,+10.4
Juni 2016,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,,,+12.3
Juni 2017,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,,,+12.1
Juni 2018,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,,,+10.5
Juni 2019,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,,,+9.8
Juni 2020,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,,,+11.8
Juni 2007,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer ,,+10.7
Juni 2008,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer ,,+10.3
Juni 2009,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer ,,+10.3
Juni 2010,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer ,,+9.3
Juni 2011,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer ,,+9.0
Juni 2012,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer ,,+8.2
Juni 2013,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer ,,+7.8
Juni 2014,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer ,,+7.8
Juni 2015,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer ,,+8.4
Juni 2016,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer ,,+11.3
Juni 2017,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer ,,+10.5
Juni 2018,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer ,,+8.8
Juni 2019,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer ,,+8.1
