Year,Gebietseinheit,Geschlecht,Aufenthaltstitel,Units,GeoCode,Unnamed: 7,Unnamed: 8,Value
2021,"Braunschweig, Stadt",männlich,mit Freizügigkeit nach EU-Recht,Anzahl,K03101,,,5045.0
2021,"Braunschweig, Stadt",weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,K03101,,,4670.0
2021,"Braunschweig, Stadt",insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,K03101,,,9715.0
2021,"Salzgitter, Stadt",männlich,mit Freizügigkeit nach EU-Recht,Anzahl,K03102,,,3815.0
2021,"Salzgitter, Stadt",weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,K03102,,,3025.0
2021,"Salzgitter, Stadt",insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,K03102,,,6840.0
2021,"Wolfsburg, Stadt",männlich,mit Freizügigkeit nach EU-Recht,Anzahl,K03103,,,5425.0
2021,"Wolfsburg, Stadt",weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,K03103,,,4370.0
2021,"Wolfsburg, Stadt",insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,K03103,,,9795.0
2021,Gifhorn,männlich,mit Freizügigkeit nach EU-Recht,Anzahl,K03151,,,2885.0
2021,Gifhorn,weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,K03151,,,2295.0
2021,Gifhorn,insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,K03151,,,5180.0
2021,Goslar,männlich,mit Freizügigkeit nach EU-Recht,Anzahl,K03153,,,2355.0
2021,Goslar,weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,K03153,,,1925.0
2021,Goslar,insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,K03153,,,4280.0
2021,Helmstedt,männlich,mit Freizügigkeit nach EU-Recht,Anzahl,K03154,,,1765.0
2021,Helmstedt,weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,K03154,,,1395.0
2021,Helmstedt,insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,K03154,,,3155.0
2021,Northeim,männlich,mit Freizügigkeit nach EU-Recht,Anzahl,K03155,,,1825.0
2021,Northeim,weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,K03155,,,1605.0
2021,Northeim,insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,K03155,,,3430.0
2021,Peine,männlich,mit Freizügigkeit nach EU-Recht,Anzahl,K03157,,,2500.0
2021,Peine,weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,K03157,,,1995.0
2021,Peine,insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,K03157,,,4495.0
2021,Wolfenbüttel,männlich,mit Freizügigkeit nach EU-Recht,Anzahl,K03158,,,1380.0
2021,Wolfenbüttel,weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,K03158,,,1180.0
2021,Wolfenbüttel,insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,K03158,,,2560.0
