Year,Gebietseinheit,Units,GeoCode,Value
2005,"Braunschweig, Stadt",Prozent,K03101,8.26629918498979
2005,"Salzgitter, Stadt",Prozent,K03102,9.95210069992388
2005,"Wolfsburg, Stadt",Prozent,K03103,9.88952054059852
2005,Gifhorn,Prozent,K03151,4.34231993519607
2005,Goslar,Prozent,K03153,4.95602567149988
2005,Helmstedt,Prozent,K03154,3.73200748856766
2005,Northeim,Prozent,K03155,3.95800668075533
2005,Peine,Prozent,K03157,5.07798277617197
2005,Wolfenbüttel,Prozent,K03158,3.863672307449
2005,Göttingen,Prozent,K03159,5.87466113857439
2005,Statistische Region Braunschweig,Prozent,K031,6.03089488528782
2005,Hannover  Region,Prozent,K03241,10.2047507272652
2005,"dav. Hannover, Lhst.",Prozent,K03241001,14.5456237675213
2005,"dav. Hannover, Umland",Prozent,K03241999,6.55158008792227
2005,Diepholz,Prozent,K03251,3.83023734852562
2005,Hameln-Pyrmont,Prozent,K03252,6.89064064064064
2005,Hildesheim,Prozent,K03254,5.03401079675065
2005,Holzminden,Prozent,K03255,4.4059139094946
2005,Nienburg (Weser),Prozent,K03256,4.36005402399301
2005,Schaumburg,Prozent,K03257,5.80343929885175
2005,Statistische Region Hannover,Prozent,K032,7.74497566683411
2005,Celle,Prozent,K03351,4.27802503781982
2005,Cuxhaven,Prozent,K03352,4.25281084978273
2005,Harburg,Prozent,K03353,4.55325501288111
2005,Lüchow-Dannenberg,Prozent,K03354,2.47896868671133
2005,Lüneburg,Prozent,K03355,3.9346560952115
2005,Osterholz,Prozent,K03356,3.53376322721991
2005,Rotenburg (Wümme),Prozent,K03357,3.99150871872631
2005,Heidekreis,Prozent,K03358,4.16952858885042
2005,Stade,Prozent,K03359,4.07380073800738
2005,Uelzen,Prozent,K03360,2.87394264493501
2005,Verden,Prozent,K03361,5.02371647623878
2005,Statistische Region Lüneburg,Prozent,K033,4.09369456491952
2005,"Delmenhorst, Stadt",Prozent,K03401,8.89272353654039
2005,Emden  Stadt,Prozent,K03402,5.38370765867719
2005,"Oldenburg(Oldb), Stadt",Prozent,K03403,6.23340585879608
