Year,Gebietseinheit,Geschlecht,Aufenthaltstitel,Units,GeoCode,Value
2021,"Braunschweig, Stadt",männlich,kein Aufenthaltstitel erforderlich,Anzahl,K03101,5060
2021,"Braunschweig, Stadt",weiblich,kein Aufenthaltstitel erforderlich,Anzahl,K03101,4675
2021,"Braunschweig, Stadt",insgesamt,kein Aufenthaltstitel erforderlich,Anzahl,K03101,9730
2021,"Salzgitter, Stadt",männlich,kein Aufenthaltstitel erforderlich,Anzahl,K03102,3825
2021,"Salzgitter, Stadt",weiblich,kein Aufenthaltstitel erforderlich,Anzahl,K03102,3030
2021,"Salzgitter, Stadt",insgesamt,kein Aufenthaltstitel erforderlich,Anzahl,K03102,6855
2021,"Wolfsburg, Stadt",männlich,kein Aufenthaltstitel erforderlich,Anzahl,K03103,5425
2021,"Wolfsburg, Stadt",weiblich,kein Aufenthaltstitel erforderlich,Anzahl,K03103,4370
2021,"Wolfsburg, Stadt",insgesamt,kein Aufenthaltstitel erforderlich,Anzahl,K03103,9800
2021,Gifhorn,männlich,kein Aufenthaltstitel erforderlich,Anzahl,K03151,2890
2021,Gifhorn,weiblich,kein Aufenthaltstitel erforderlich,Anzahl,K03151,2300
2021,Gifhorn,insgesamt,kein Aufenthaltstitel erforderlich,Anzahl,K03151,5190
2021,Goslar,männlich,kein Aufenthaltstitel erforderlich,Anzahl,K03153,2355
2021,Goslar,weiblich,kein Aufenthaltstitel erforderlich,Anzahl,K03153,1925
2021,Goslar,insgesamt,kein Aufenthaltstitel erforderlich,Anzahl,K03153,4280
2021,Helmstedt,männlich,kein Aufenthaltstitel erforderlich,Anzahl,K03154,1770
2021,Helmstedt,weiblich,kein Aufenthaltstitel erforderlich,Anzahl,K03154,1395
2021,Helmstedt,insgesamt,kein Aufenthaltstitel erforderlich,Anzahl,K03154,3160
2021,Northeim,männlich,kein Aufenthaltstitel erforderlich,Anzahl,K03155,1825
2021,Northeim,weiblich,kein Aufenthaltstitel erforderlich,Anzahl,K03155,1605
2021,Northeim,insgesamt,kein Aufenthaltstitel erforderlich,Anzahl,K03155,3430
2021,Peine,männlich,kein Aufenthaltstitel erforderlich,Anzahl,K03157,2500
2021,Peine,weiblich,kein Aufenthaltstitel erforderlich,Anzahl,K03157,1995
2021,Peine,insgesamt,kein Aufenthaltstitel erforderlich,Anzahl,K03157,4495
2021,Wolfenbüttel,männlich,kein Aufenthaltstitel erforderlich,Anzahl,K03158,1385
