Year,Gebietseinheit,Kategorie,Units,Value
2009,Niedersachsen,Insgesamt bis unter 3 Jahre,Prozent,11.9
2009,Deutschland,Insgesamt bis unter 3 Jahre,Prozent,20.2
2010,Niedersachsen,Insgesamt bis unter 3 Jahre,Prozent,15.8
2010,Deutschland,Insgesamt bis unter 3 Jahre,Prozent,23.0
2011,Niedersachsen,Insgesamt bis unter 3 Jahre,Prozent,18.6
2011,Deutschland,Insgesamt bis unter 3 Jahre,Prozent,25.2
2012,Niedersachsen,Insgesamt bis unter 3 Jahre,Prozent,22.1
2012,Deutschland,Insgesamt bis unter 3 Jahre,Prozent,27.6
2013,Niedersachsen,Insgesamt bis unter 3 Jahre,Prozent,24.4
2013,Deutschland,Insgesamt bis unter 3 Jahre,Prozent,29.3
2014,Niedersachsen,Insgesamt bis unter 3 Jahre,Prozent,27.9
2014,Deutschland,Insgesamt bis unter 3 Jahre,Prozent,32.3
2015,Niedersachsen,Insgesamt bis unter 3 Jahre,Prozent,28.3
2015,Deutschland,Insgesamt bis unter 3 Jahre,Prozent,32.9
2016,Niedersachsen,Insgesamt bis unter 3 Jahre,Prozent,28.4
2016,Deutschland,Insgesamt bis unter 3 Jahre,Prozent,32.7
2017,Niedersachsen,Insgesamt bis unter 3 Jahre,Prozent,29.6
2017,Deutschland,Insgesamt bis unter 3 Jahre,Prozent,33.1
2018,Niedersachsen,Insgesamt bis unter 3 Jahre,Prozent,30.9
2018,Deutschland,Insgesamt bis unter 3 Jahre,Prozent,33.6
2019,Niedersachsen,Insgesamt bis unter 3 Jahre,Prozent,32.1
2019,Deutschland,Insgesamt bis unter 3 Jahre,Prozent,34.3
2020,Niedersachsen,Insgesamt bis unter 3 Jahre,Prozent,32.9
2020,Deutschland,Insgesamt bis unter 3 Jahre,Prozent,35.0
2009,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,Prozent,88.1
2009,Deutschland,Insgesamt 3 bis unter 6 Jahre,Prozent,91.6
2010,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,Prozent,89.5
2010,Deutschland,Insgesamt 3 bis unter 6 Jahre,Prozent,92.2
2011,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,Prozent,91.6
2011,Deutschland,Insgesamt 3 bis unter 6 Jahre,Prozent,93.0
2012,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,Prozent,92.6
2012,Deutschland,Insgesamt 3 bis unter 6 Jahre,Prozent,93.4
2013,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,Prozent,93.6
